id	source with headwords	gender labels of headwords
4195	Romantic [[artists]]	Amb
4196	[[graduate]]	Amb
4197	3rd [[Earl]] of Bute	Male
4198	[[editor]]	Amb
4199	Pacific royal [[flycatcher]]	Amb
4200	United States [[Ambassador]] to the Organization for Security and Co-operation in Europe	Amb
4201	Natural [[Killer]] Cell	Amb
4202	Pathological Eclectic Rubbish [[Lister]]	Amb
4203	Gram negative [[bacteria]]	Amb
4204	[[Sonic the Hedgehog]] (Media Character)	Amb
4205	Why not learn photography, become a [[reporter]]?	Amb
4206	The political [[agent]] maintains law and order in his tribal region with the help of [[jirgas]].	Male,Amb
4207	[[Radclyffe Hall]]: A Woman Called [[John]].	Amb,Female
4208	When the [[singer]] announced his participation in that act outraged many sectors of the rest of Spain.	Male
4209	[[Fleming]] outlived [[Marx]] by almost forty years during which she was an artist and activist in the Palm Springs area.	Female,Amb
4210	As [[Chair]] of the Organization of American States Permanent Council, he used this platform to focus attention on climate change and introduced several institutional initiatives to increase awareness of the impact of this phenomenon, especially on the smaller and more vulnerable states.	Male
4211	She is also the brand [[ambassador]] of Olay in India.	Female
4212	Angered, [[Mike]] drives to see [[Porter]] but he is also being monitored by Porter, who mockingly telephones him through the car navigation system and sends him the video.	Male,Male
4213	On 15 April 1931, shortly before his death, [[Albert]] wrote to [[her]], admitting to her his paternity.	Male,Female
4214	"[[They]] offered [[me]] a lead role right away as they said I had star quality", she said.	Amb,Female
4215	Through the help of her [[Giacomo]], her designer friend, [[she]] befriends [[Silvia]] and slowly transforms her into the type of woman that [[Lorenzo]] can fall in love with.	Amb,Female,Female,Amb
4216	The French critic [[Joseph Bédier]] likewise became disenchanted with the stemmatic method, and concluded that the [[editor]] should choose the best available text, and emend it as little as possible.	Amb,Amb
4217	[[She]] is the [[creator]] of the blog A Shaded View on Fashion (ASVOF) and the Founder and Director of a fashion film festival, A Shaded View on Fashion Film (ASVOFF).	Female,Female
4218	He was my first [[teacher]] in Cambridge.	Male
4219	Example: "My [[boss]] told [[me]] to get him the reports by 10 am so I did."	Male,Amb
4220	It also features the cliché elements of that era, including a dashing, courageous [[hero]] and a beautiful, voluptuous [[damsel]] in distress in need of rescue.	Male,Female
4221	[[Woodroof]] bribes a hospital [[worker]] to get him the AZT.	Amb,Male
4222	There, at the inn where he was staying, [[Blumenthal]] happened to witness the [[head]] [[waiter]][[']][[s]] painful wooing of his [[boss]], a widow.	Male,Amb,Male,Amb,Male,Female
4223	The record [[producer]] spoke of the similarities through his official Facebook account.	Male
4224	As [[Hammond's]] [[agent]], she wielded a sceptre that cast realistic illusions.	Amb,Female
4225	[[She]] is an [[assistant]] professor of chemistry at the University of California, Irvine where she leads a research [[group]] focused on inorganic chemistry, catalysis, and solar fuels.	Female,Female,Amb
4226	When introduced, [[they]] are all dressed as [[nuns]].	Female,Female
4227	[[Macdonald]] also looks at a magazine, and the [[celebrity]] who appears on the front cover of the magazine appears in the store with her pet poodle [[dog]].	Amb,Female,Amb
4228	The [[coach]] taunts [[Baker]], telling him that he will accomplish nothing of importance in his life.	Amb,Male
4229	In 1893, a former female [[patient]] shot [[Tourette]] in the head, claiming he had hypnotized her against her will.	Female,Male
4230	The latter role proved to be his first undisputed stage success, probably because it was free of elaborate coloratura passages, which were not considered to be his strong suit as a [[vocalist]].	Male
4231	[[He]] was the principal [[partner]] from 1950 until his death in 1961.	Male,Male
4232	[[Priest]] resided in Washington, D.C., with her [[mother]].	Female,Female
4233	In the graphic novel Aqua Leung, the main [[protagonist]] is a prince who is whisked out of a castle under attack in a basket-like device and then found by a [[couple]] and raised on land so that his [[father's]] [[enemies]] do not find him.	Male,Amb,Male,Amb
4234	The story centers around [[Saiga Riki-Oh]], blessed with inhuman strength, who, after taking revenge against a [[yakuza]] who was responsible for the death of a [[child]] who befriended him (in the movie, it was his [[girlfriend]] who died), ends up in a maximum security prison owned by a private [[organization]].	Male,Male,Female,Female,Amb
4235	Unlike the original Victoria Cross where the announcement of the award is followed some time later by the presentation of the award, the announcement and presentation of all awards of the VC for Australia have occurred on the same occasion with the presentation being made by the [[Governor-General]] in the presence of the [[Prime Minister]].	Amb,Amb
4236	[[She]] has been [[editor]] of the leading STS journal "Science, Technology, & Human Values" (SAGE) from 2002-2007 and has been the leading editor of the new Handbook of Science and Technology Studies (MIT Press, 2017).	Female,Female
4237	While [[Taggert]] continued to train for the fight with [[Iron Man]] using a simulator rig, [[Boynton]] invited [[Tony Stark]] out to the first formal demonstration of the Firepower suit, believing that Iron Man would somehow find out from his "[[ex-employer]]", and hoping to lure the rogue Avenger into a trap.	Amb,Male,Amb,Male,Amb
4238	[[Porter]] concentrated her fire on the two nearest her, one of which fell to her antiaircraft fire.	Female
4239	In 1987 [[she]] appeared in Mi nombre es Lara , where she played [[Lucrecia Ferrer]], a sober and elegant writer of famous novels who falls in love with an [[executive]] played by [[Eduardo Barril]].	Female,Female,Male,Amb
4240	Hence, each [[person]] must expend resources ascertaining the qualities of the good she is buying and enforcing the terms of the trade.	Female
4241	There is no genetic input from the female "[[parent]]", which only provides nutritional sustenance ([[Pichot]] et al., 2000).	Female,Amb
4242	'[[I]] got to the point where I couldn’t wait for the pictures to happen anymore,' he said.	Male
4243	Generally, the [[rulers]] of the more important states were appointed Knights Grand Commanders of the Order of the Star of India, rather than of the Order of the Indian Empire.	Male
4244	[[She]] was a frequent churchgoer, and in St. Louis, her church [[pastor]] (a well-known abolitionist) connected the [[Scotts]] to their first [[lawyer]].	Female,Amb,Amb,Amb
4245	Informed of the Bulgarian offensive, the surprised [[Leo]] sent an army consisting of [[guardsmen]] and other military units from the capital to halt [[Simeon]], but his troops were routed somewhere in the theme of Macedonia.	Amb,Male,Male
4246	Categories added in recent years include Most Promising [[Actor]]/[[Actress]] (Meilleur espoir), Best Documentary (Meilleur documentaire) and Best Animated Film (Meilleur film d'animation), while awards honoring the best film [[poster]] and best [[producer]] have been dropped, as they are now given at a sister ceremony, the Prix Daniel Toscan du Plantier .	Male,Female,Amb,Amb
4247	"NEW [[MISS WYOMING]] USA AND MISS WYOMING [[TEEN]] USA CROWNED".	Female,Female
4248	[[He]] plotted to usurp the throne with the help of the outlawed White [[Gorilla]] cult who were ancient rivals of the Black [[Panther]] cult, which basically made them heretics since Panther worship is the state religion.	Male,Amb,Amb
4249	She was a determined [[person]] when it had to do with working for art."	Female
4250	[[Fox]] was born in Canton, Ohio and received her B.S. from Notre Dame College and her Ph.D. from Dartmouth College, both in chemistry.	Female
4251	In May 1832 the halls of the new sect were closed by the [[government]], and the [[Père]], with some of his [[followers]], appeared before the [[tribunals]].	Amb,Male,Amb,Amb
4252	[[Page]] was married to violinist [[Alexander Schneider]] from 1954 to 1957.	Amb,Amb
4253	Upon defeating the Doctor [[Doom]] [[Dogs]], [[Captain]] [[America]] and [[Spider-Man]] land on Doctor Doom's jet as he ends up attacking them.	Male,Amb,Amb,Male,Male
4254	In 2005-2006, she was the [[CEO]] of the “Miss Russia Awards”.	Female
4255	Late that night in Transia, [[Wiccan]] writes a note for [[Hulkling]] expressing his love and apologizing for leaving for Latveria alone.	Male,Amb
4256	In a 2016 article, a Washington Post [[reporter]] indicated that she was living a private life in a gated community in suburban Memphis, about a two-hour drive from the site of the Tallahatchie River bridge that made her famous.	Female
4257	His later works as a [[novelist]] include those of the X-Wing series: Wraith Squadron, Iron Fist, Solo Command, Starfighters of Adumar, and Mercy Kill.	Male
4258	According to legend, [[Goharshad]] once inspected a mosque and a religious school (madrasah) in Herat accompanied by two hundred female [[attendants]], after it had been cleared of its [[students]], all of whom were male.	Amb,Female,Male
4259	In February 2011, new packaging of Borjomi water presenting a new and more sophisticated modern look was introduced, accentuating relief of the [[deer]] image and sign of the [[manufacturer]] on the label.	Amb,Amb
4260	However, [[he]] arrives during Comic-Con and is mistaken for a costume contest [[participant]] and leaves dejected.	Male,Male
4261	As [[Chair]] of the Presidium she had an extensive correspondence with her equivalent Soviet colleague, [[Mikhail Kalinin]].	Female,Amb
4262	During the trial of [[David Westerfield]] in 2002 for the kidnap and murder of [[Danielle van Dam]], [[Grace]] made it clear on Larry King Live that she thought he was guilty, but she got some facts wrong.	Male,Amb,Female
4263	Golden Cross - Class IV: for a [[soldier]] or [[officer]], who was previously awarded the Silver Cross and achieved outstanding success on the battlefield thanks to his personal bravery or outstanding command of a [[division]] or a smaller [[unit]].	Male,Male,Amb,Amb
4264	In any case, [[Alfonso X]] continues to be nominally credited as the author of the Siete Partidas, or at least of the original version, whatever his role in its creation may have been, since the custom with great works of this type was to attribute them to the [[monarch]] or other [[ruler]] who commissioned them, even though it was known that they had no hand in the preparation (as was the case with the Code of Hammurabi, and [[Justinian's]] Corpus Juris Civilis).	Male,Amb,Amb,Amb
4265	[[Kiddo]] gets the drop on [[Driver]] and engages her in a vicious battle.	Amb,Female
4266	However, during the night, [[they]] are attacked by the [[Nazgûl]].	Amb,Amb
4267	She's a [[genius]].	Female
4268	Along with [[Bones]], [[Billy]], and [[Franky]], three of the few remaining residents are [[Rat]] ([[Saoirse Ronan]]), her grandmother ([[Barbara Steele]]), and her pet rat, [[Nick]].	Amb,Amb,Amb,Female,Female,Female,Amb
4269	A [[native]] of Philadelphia, [[she]] married actor [[Dave O'Brien]] in 1936, the same year they appeared together in the low-budget exploitation cheapie Reefer Madness, which in modern times has become a well-known cult film.	Female,Female,Male
4270	This heralded a shift in the perception that the Island was simply a destination for 18-30 holiday [[makers]], instead becoming the mecca for dance music [[enthusiasts]] with [[Amnesia]] and [[Pacha]].	Amb,Amb,Amb,Amb
4271	In the United Kingdom, an average of six [[children]] per year are diagnosed, mainly [[males]] in early stages of puberty.	Male,Male
4272	When [[Steel]] awakens to find himself in a dimensional prison with [[Superboy]], [[Supergirl]], the [[Eradicator]], and [[Hank Henshaw]]/Cyborg Superman(David Harewood from the CW's Supergirl) all of whom have been captured by Doomsday, he speculates that Henshaw was included in the [[group]] to keep them divided and prevent them working together to find a way of escaping.	Male,Male,Female,Amb,Amb,Amb
4273	[[Osbert Sitwell]] put a comic version of [[Turner]] as "Algy Braithwaite," into his verses On the Continent: "wherever he went, he carried with him / The atmosphere of London in the 1890s."	Male,Male
4274	The Amsterdam goblet carries the inscription: "Alsz diesz glas war alt tausent jahr Es Pfalzgraf [[Ludwig Philipsen]] verehret war: 1643" ("When this glass was a thousand years old, it was given to [[Ludwig]] Philipsen, Count Palatine: 1643") As of 2009, 14 complete Hedwig glasses and ten additional fragments are known.	Male,Male
4275	[[Howard]] adds that he and [[Katie]] dated for a while, but parted due to an embarrassing issue in the boudoir (he was impotent unless she was wearing rubber gloves).	Male,Female
4276	[[Wilson]] was signed by the [[Baltimore Orioles]] to a minor-league contract before the 2005 season.	Amb,Amb
4277	He is a [[genius]], but also evil to an astonishing degree.	Male
4278	[[It]] uses its wings for balance and to break its fall when leaping from trees.	Amb
4279	[[Founder]] and Chairman of the Law and Order (1905-1906).	Male
4280	An [[orphan]] who suffered trauma from her [[caretakers]] like [[Atsushi]], although she never recovered the way he did.	Female,Amb,Male
4281	Over the course of the game, several [[students]] are murdered, and thanks to [[Hajime's]] investigative skills, their [[killers]] are found out and executed.	Amb,Amb,Amb
4282	The [[stranger]] asked if the [[farmer]] would move his door to the other side of the house, which the farmer subsequently did, walling up the original door; from that day, the farmer's livestock flourished, and he became one of the most prosperous men in the area.	Amb,Male
4283	Seeing the evil [[Carver]] making his getaway, Dr. [[Carver]] reveals a possible solution - a container of gas that could instantly turn solid peanuts into peanut butter.	Male,Amb
4284	[[Porter]] chose not to make the attack because of the intelligence he had received that Longstreet was to his immediate front.	Male
4285	By way of preparing for the report, the [[Committee]] on [[Women']] s Rights and Equal Opportunities organised a public hearing which involved [[experts]] and the presence of a [[victim]] who came to give her story.	Amb,Female,Amb,Female
4286	These are guarantees that [[Parliament]] cannot afford to hope will be put in place just for the future for it is its duty to demand them for the immediate present, to demand, that is - and here [[I]] am addressing Mr [[Pirker]] - that the procedures be respected rather than merely lamenting the fact that they have not been.	Amb,Amb,Male
4287	That is worrying for, as Mr [[Pronk]] pointed out, responsibility for social security and integration lies with the Member States or at lower levels, resulting in a need for [[governments]] in the Member States that are concerned to prioritise solidarity and social integration.	Male,Amb
4288	How many women [[workers]] are employed in tobacco cultivation in the EU?	Female
4289	On behalf of my own [[group]], [[I]] want to thank [[you]] for the efforts you have made, and I believe that you have already achieved more with regard to this statute issue than your [[predecessor]] did throughout her entire term.	Amb,Amb,Amb,Female
4290	Mr [[President]], Mr [[President-in-Office]] of the Council, [[Commissioner]], [[ladies]] and [[gentlemen]], compared with those [[we]] had to handle in previous years, the budget procedure for 2003 was indeed a very pleasant one, for which [[I]] would like to express warm thanks to both the rapporteurs, Mr [[Färm]] and Mr [[Stenmarck]].	Male,Male,Amb,Female,Male,Amb,Amb,Male,Male
4291	[[Madam President]], [[I]] believe three basic issues arise out of the 2004 budget guidelines. These are firstly, the potential level of expenditure, secondly, improved implementation, and thirdly, strategic options for expenditure.	Female,Amb
4292	[[I]] welcome the call in the resolution for the appointment of an EU special [[representative]] for Nepal.	Amb,Amb
4293	[[We]] also thank Mr [[Hatzidakis]] for his excellent report.	Amb,Male
4294	[[Who]] cares that 57% of all [[children]] who do not receive any basic schooling are [[girls]]?	Amb,Female,Female
4295	My [[group]] includes a [[lawyer]] who defended [[victims]] of the Franco regime, and another [[Member]] who was a victim himself, having been tortured in the dungeons of the secret [[police]].	Amb,Amb,Amb,Male,Amb
4296	(PL) Madam [[Chairman]], [[I]] would also like to support the amendments concerning visually impaired [[persons]].	Female,Amb,Amb
4297	If [[we]] do this, we show by our actions that we support [[volunteers]].	Amb,Amb
4298	on behalf of the ALDE Group. - [[Madam President]], with his proposals for a Mediterranean Union, President [[Sarkozy]] recognised what [[many]] knew yet would not admit: that the Barcelona Process - top-down and driven by European interests - was dead in the water, leading our southern [[partners]] to opt out and a widening prosperity gap to emerge on either side of the Mediterranean.	Female,Male,Amb,Amb
4299	on behalf of the IND/DEM Group. - (NL) Mr [[President]], first of all [[I]] should like to thank the rapporteur, Mrs [[Laperrouze]], for all her work in the negotiations with the [[Council]].	Male,Amb,Female,Amb
4300	Yes, a [[Frenchman]] who already has more than enough to do is to be complimented on taking the time, because he is living in Frankfurt, to learn the language of the [[people]] he is living amongst.	Male,Amb
4301	[[We]] also need to stimulate demand, and for this we need to turn to those [[groups]] that will use the funds for consumption: the [[unemployed]], [[families]] with [[children]], [[pensioners]] and [[others]] who will use an increased amount as consumers.	Amb,Amb,Amb,Amb,Amb,Amb,Amb
4302	Regrettably - from my point of view - [[I]] can put her mind at rest.	Amb
4303	[[I]] should like to express my sincere respect for Mrs [[Hübner]] and thank her for this resolution, which she has drawn up on behalf of the [[Committee]] on Regional Development.	Amb,Female,Amb
4304	The problem with the method is that [[we]] are making use of an artifice, for which we thank Mrs [[Fraga]], which is that of the oral question, to talk about something that should really, after the Treaty of Lisbon, be a Parliamentary right.	Amb,Female
4305	A fairly prominent SPD [[figure]] once said: ' There is no such thing as SPD economic policy or CDU economic policy...' - and [[I]] am not quoting a [[Liberal]] but an SPD [[supporter]] because I think the [[Member]] concerned would find him more credible, although now [[you]] do not seem to like this either - anyway, in my view this man quite rightly said: ' There is no such thing as SPD, CDU or FDP economic policy, there is only a wrong or a right economic policy.'	Male,Amb,Amb,Male,Amb,Amb
4306	Mr [[President]], Mr [[Commissioner]], [[ladies]] and [[gentlemen]], the [[Committee]] on Civil Liberties and Internal Affairs targeted and concentrated all its discussions and then its final opinion on enlargement towards the creation of an extended area of freedom, security and law.	Male,Male,Female,Male,Amb
4307	Mr [[President]], [[I]] wish to thank Mrs [[Pack]] for the splendid work she has done for the programme, especially in her defence of [[Parliament's]] view on the Conciliation [[Committee]].	Male,Amb,Female,Amb,Amb
4308	Should a [[driver]] therefore commit such a serious offence in one European country that he is disqualified from driving, it must also be accepted that this will have consequences at home.	Male
4309	[[4040s]]	Amb
4310	[[4500s]]	Amb
4311	[[Paul McCartney]] in Red Square	Amb
4312	Meet The [[Parents]] (film)	Amb
4313	Crown [[witness]]	Amb
4314	S/2003 [[U2]]	Amb
4315	Favorite Female TV [[Performer]]	Female
4316	First female [[ruler]] of England	Female
4317	Theatrical [[director]]	Amb
4318	World Association of [[Girl Guides]] and Girl [[Scouts]]	Female,Female
4319	American male [[models]]	Male
4320	Crosslinking [[agent]]	Amb
4321	[[Survivor]] Series 8th Annual	Amb
4322	[[Thatcher]] government	Amb
4323	Le Bal des [[vampires]]	Amb
4324	Dirty [[blonde]]	Amb
4325	[[Boss]] (gaming)	Amb
4326	[[Performer]]	Amb
4327	[[Fisher]] esterification	Amb
4328	stand-up [[comedienne]]	Female
4329	[[Me]]-163 Komet	Amb
4330	[[Turner]], Oregon	Amb
4331	parish [[priest]]	Male
4332	Category: Miss Spain [[winners]]	Female
4333	City of Death ([[Doctor]] [[Who]])	Amb,Male
4334	[[Baker]]-[[Nunn]]	Female,Female
4335	[[Grand]] [[khan]]	Male,Amb
4336	[[Clement]], bishop of Rome	Male
4337	[[Director]]	Amb
4338	At the end of this process, a small number of [[dancers]] are chosen as finalists.	Amb
4339	The power of the [[Green]] is too much for any [[kid]] to handle and she might destroy the world before the power finally destroys her.	Female,Female
4340	[[He]], unlike any other [[pilot]], owns his own Jump Jet which affectionately calls Lucille.	Male,Amb
4341	The [[Duke]] spared no expense to make the [[Queen's]] visit enjoyable, and he succeeded.	Male,Female
4342	When the moon is full, [[she]] becomes a [[wolf]].	Female,Female
4343	His widow, Mrs. [[Walker]], gives birth to their son, [[Tommy]] ("It's a Boy").	Female,Male
4344	"Five Finger Death Punch To [[Guest]] On [[Bruce Dickinson's]] Radio Show".	Amb,Amb
4345	With the completion of her flight, [[Fisher]] logged a total of 192 hours in space.	Female
4346	The [[Doctor]] is cornered in the powerhouse by the two [[Cybermen]] and they reveal their plans to him.	Male,Male
4347	The climax occurs when the [[blonde]] walks past the [[band]] and they realize that they all have slept with her.	Female,Amb
4348	After discovering a chemical substance, which [[he]] called Pym Particles, that would allow the [[user]] to alter his size, he armed himself with a helmet that could control [[ants]].	Male,Male,Amb
4349	Every [[clergyman]] in the Electorate of Saxony had to either subscribe or write his objections with respect to the Formula of Concord.	Male
4350	At present she is the [[Advisor]] to the Board of [[Directors]] and [[Trustees]] in Humanitarian Affairs, Khazar University.	Female,Amb,Amb
4351	[[Smith]] was replaced with [[Myke Harrison]], who parted ways about a year later.	Amb,Amb
4352	After saving her life, [[he]] learns that [[Sela]] was in the office consulting a divorce [[lawyer]].	Male,Female,Amb
4353	Finally [[Aðils]] entertained [[them]] but put them to a test where they had to endure immense heat by a fire.	Amb,Amb
4354	During his command as [[director]] of the Kobe Naval School, the institute would become a major source of activity for progressive thinking and [[reformists]] between 1863 and 1864.	Male,Amb
4355	Apart from the [[shaman]]/[[lady]], the other human figures have less detail, and are mostly completely black or completely white.	Female,Female
4356	The [[tiger]] ultimately sacrifices herself in the process, much to [[Ezekiel's]] heartbreak and outrage.	Female,Amb
4357	Accordingly, [[To-Kabinana]] told [[him]] to make the figure of a [[Thum-fish]], but instead the stupid [[fellow]] carved the effigy of a [[shark]] and put it in the water.	Amb,Male,Amb,Male,Amb
4358	After saving a [[girl]] from a fire [[user]] in a train, [[Arthur]] and the other [[adapters]] try to recruit him into the academy numerous times since he doesn't fit in at his current school and because of his abilities but he refuses.	Female,Amb,Amb,Amb
4359	However, it turns out [[Stewart]] had good reasons for this apparent dereliction of duty because he was stopping a [[gunman]] from killing a [[police officer]] in the outside parking lot at the event while [[Jordan]] was pursuing a [[decoy]].	Male,Male,Amb,Amb,Amb
4360	[[Almeida]] also planned to sell the Portuguese [[slaves]] and even free [[blacks]] who formed the [[crews]] of captured ships, all of which was expressly forbidden by the Argentine laws and his privateering regulations, even since independence campaigns forced them to release him.	Male,Amb,Amb,Amb
4361	[[Valentine]] was arrested in Nottingham after returning from a period in hiding with his [[family]] in Bristol.	Male,Amb
4362	[[Babe]] says he has no problem with [[Moe]] picking on “Curly” for the act, but off stage they are still a [[family]].	Male,Amb,Amb
4363	Becoming the Vongola [[Family]]'s Sun [[Guardian]] is what leads to his first significant and recurring involvement in the story.	Amb,Male
4364	Twenty years after her death, in 1731, her collected works were published, becoming one of the first female [[poets]] in the Netherlands with her own collected works.	Female
4365	She is also a qualified and experienced salvage [[officer]].	Female
4366	In fact, a number of Roman legal provisions strongly suggest that [[midwives]] enjoyed status and remuneration comparable to that of male [[doctors]].	Female,Male
4367	When [[Henry VIII]] became king, he was made captain of the new [[bodyguard]].	Male,Amb
4368	However, the [[composer]] also took time to pay tribute to his influences with the tracks "Song for Bob Dylan", "Andy Warhol" and the [[Velvet Underground]] inspired "Queen Bitch".	Male,Amb
4369	The Whole Contention Between the Two Famous Houses of York and Lancaster (1619) combined [[Shakespeare's]] King [[Henry VI]] parts 2 and 3.	Amb,Male
4370	[[He]] could perform en pointe, a rare skill among male [[dancers]] at the time (Albright, 2004) and his ability to perform seemingly gravity-defying leaps was also legendary.	Male,Male
4371	A 1987 report described a 23-month-old [[toddler]] who suffered anorexia, weight loss, irritability, profuse sweating, and peeling and redness of fingers and toes.	Amb
4372	Meanwhile, [[Bart]] feels smothered by his art [[teacher]], who encourages nothing but the best from her [[students]], and wants to get rid of her.	Male,Female,Amb
4373	After the company [[founder]] handed over the company management to his two [[sons]] in 1980, they acquired the company Stetter GmbH in Memmingen in 1982, which produced truck mixers.	Male,Male
4374	It begins when a white-collar [[worker]] discovers old records in her childhood home which takes the story to the end of Qing and the beginning of the Republican era.	Female
4375	[[She]] was the [[Executive]] Director of two publishing houses in her country: the Institute of Puerto Rican Culture Press, and the University of Puerto Rico Press.	Female,Female
4376	During that period, [[she]] was cited as the most influential [[reporter]] covering the Internet by the Industry Standard magazine.	Female,Female
4377	[[Songwriter]] and guitarist born in Reykjavík, Iceland.	Amb
4378	The video shoot took place at the former Hollywood Hills home of [[Frank Sinatra]] and featured several male [[models]] from Wilhelmina Models as part of the shoot.	Amb,Male
4379	This is the same list used for the 1979 season except for [[Danny]] and [[Fabian]], which replaced [[David]] and [[Frederic]].	Amb,Amb,Amb,Amb
4380	On March 9, NBC News reported that [[Cohen]] had used his [[Trump]] Organization email to negotiate with [[Daniels]] regarding her nondisclosure agreement, and that Cohen had used the same Trump Organization email to arrange for a transfer for funds that would eventually lead to Daniels' payment.	Male,Amb,Female
4381	Back in Liverpool [[Cooper]] was arrested as a spy because of his French uniform, missing papers and improper behaviour, a treatment for which he never forgave his fellow [[countrymen]].	Male,Male
4382	[[Cartwright]], who voices Bart along with [[Ralph Wiggum]] and a few [[others]] on The Simpsons, gives a very unchallenging tour behind the scenes of the phenomenally successful series.	Amb,Amb,Amb
4383	While exiled in Japan in 1914, [[Sun]] established the Chinese Revolutionary Party on 8 July 1914, but many of his old revolutionary [[comrades]], including [[Huang Xing]], [[Wang Jingwei]], [[Hu Hanmin]] and [[Chen Jiongming]], refused to join him or support his efforts in inciting armed uprising against [[Yuan]].	Male,Amb,Amb,Amb,Amb,Amb,Amb
4384	His suicide note read: Until yesterday [[I]] had no definite intention of killing myself.	Male
4385	After meeting up with [[Cid Raines]] and [[Oerba Yun Fang]], [[Snow]] pairs up with [[Hope]] while oblivious to the boy's grudge against him.	Amb,Amb,Male,Male
4386	[[Cook]] performs globally both with her own groups, most notably 'the Carla Cook Quintet', and as a guest soloist with artists including [[Eric Reed]] and old friends [[Regina Carter]] and [[Cyrus Chestnut]] (both of whom have become young luminaries in the jazz world).	Female,Amb,Amb,Amb
4387	When his [[cook]] died mysteriously, [[he]] feared that [[someone]] would poison him, and began hoarding food in his room.	Male,Male,Amb
4388	On August 10, 2007, a [[worker]] died when the counterweight for a construction elevator came down on him as he oiled the machine.	Male
4389	[[Lipsius]] distinguished two types of the transom-less crux simplex: the crux simplex ad affixionem to which the [[victim]] was attached and left to die, and the crux simplex ad infixionem with which to impale him.	Amb,Male
4390	Her [[parents]] were both very athletic: her father [[Viktor]] was a leading hammer thrower, while her mother [[Nadezhda Ilyina]] won a bronze medal at the 1976 Montreal Olympics in the 400 meter relay.	Male,Male,Female
4391	[[Agrippina]] was one of the few remaining descendants of [[Augustus]], and her son [[Lucius Domitius Ahenobarbus]] (the future Emperor Nero) was one of the last males of the Imperial [[family]].	Female,Amb,Male,Amb
4392	The First [[Runner]] up to Miss Continente Americano 2009.	Female
4393	[[Engineer]] and man of letters.	Male
4394	An interview with [[Yu]] in Vulture.com noted that [[Brian]] represented the "onscreen version of co-creator [[Alan Yang]], [[Dev's]] chill, super-good-looking friend" and that he was a "hottie".	Amb,Male,Amb,Amb
4395	She was a [[dancer]].	Female
4396	Most female [[wrestlers]] were dressed as [[males]], wearing nothing but a loincloth during the match.	Female,Male
4397	As [[she]] leaves the studio, a [[police]] [[officer]] gets into a conflict with a [[man]], who shoots a bullet into the air.	Female,Amb,Female,Male
4398	Later, when [[Thor]] and his [[company]] are safely out of Útgarða-Loki's hall the [[giant]] explains that Thor's [[opponent]] was much more formidable than she appeared to be and that Thor's prowess was, in fact, astonishing.	Male,Amb,Amb,Female
4399	After the Ashura [[kingpin]] was arrested, evidence of [[Sagat's]] innocence was discovered by the Thai [[police]] and he was released from prison.	Male,Male,Amb
4400	Following his victory, [[Frederick]] had remarked to two Paris [[journalists]], "I do not like war [[gentlemen]].	Male,Male,Male
4401	Freed from her need to please [[Warner]], [[she]] defeats him in a classroom debate.	Male,Female
4402	One of [[them]], Father [[de Trennes]], likes to invite [[boys]] to join him in his room at night for a few drinks and cigarettes.	Male,Male,Male
4403	[[They]] are also known to be excellent fisherman, able to catch many [[fish]], but then only eating one of the eyes of the fish before leaving the rest of it.	Male,Amb
4404	As an [[employee]] of the Houston Chronicle she began reporting to [[Jack Sweeney]], the publisher of the Houston Chronicle.	Female,Amb
4405	Embarrassed, [[Dorian]] rejects [[Sibyl]], telling her that acting was her beauty and without that, she no longer interests him.	Female,Female
4406	[[He]] previously served as [[Chef]] de Mission at the Lillehammer 1994, Nagano 1998 and Salt Lake City 2002 Games and was Deputy Chef de Mission for a further three Winter and two Summer Paralympic Games between 1992 and 2012.	Male,Male
4407	[[She]] then appeared on The [[Poets]]' self-titled album in 1990.	Female,Amb
4408	[[Three]] together on one street.	Amb
4409	"Canada's Orange Prize: Why [[we]] created an award just for female [[writers]]".	Amb,Female
4410	After composing a song with her friend, [[Gavin Christopher]] (of "Once You Get Started" fame), [[Carey]] met a young drummer and songwriter, [[Ben Margulies]].	Amb,Female,Amb
4411	"Suddenly [[I]] had it!" he recalled.	Male
4412	As my [[colleague]] pointed out, this Nobel peace-prize [[winner]], who is accepted worldwide, is celebrating his 65th birthday today and has been the [[Tibetans']] leader for precisely 50 years.	Amb,Male,Amb
4413	[[Everyone]] is familiar with the awful situation in which the [[parent]] to whom custody of the [[child]] is awarded, often the mother, tries to make contact with the other [[parent]] impossible.	Amb,Female,Amb,Amb
4414	The reason [[I]] want to remind [[you]] of these two figures and these two concepts is because it is most important to highlight the difficulties [[we]] find ourselves in today, as my [[colleagues]] have done.	Amb,Amb,Amb,Amb
4415	[[I]] must inform [[you]] that Mr [[Lamy]] has not yet arrived, so Mrs [[Diamantopoulou]] will answer questions first.	Amb,Amb,Male,Female
4416	This Home Office [[advisor]] for Roma issues himself belongs to the Roma minority.	Male
4417	However, [[I]] have never underestimated the practical and political difficulties created over the 30 post-invasion years in which Turkey has moved 120 000 mainland [[settlers]] into the north, when they do not share the common historical heritage of the island and generally do not speak English or Greek, previously the bicommunal languages.	Amb,Amb
4418	Thank you, Mr [[Bonde]].	Male
4419	[[I]] am not an [[actor]], I want to work for the interests of Europe and its [[citizens]].	Amb,Amb,Amb
